from,to1,to2
"Agricultura, extrativismo e pesca",Agropecuária,Agropecuária
Abastecimento,Agropecuária/Abastecimento,Abastecimento
Armazenamento de alimento,Agropecuária/Abastecimento,Abastecimento
Comercialização agrícola,Agropecuária/Abastecimento,Abastecimento
Estocagem,Agropecuária/Abastecimento,Abastecimento
Estoque regulador,Agropecuária/Abastecimento,Abastecimento
Segurança alimentar,Agropecuária/Abastecimento,Abastecimento
Suprimento de alimento,Agropecuária/Abastecimento,Abastecimento
Transporte,Agropecuária/Abastecimento,Abastecimento
Agricultura de subsistência,Agropecuária,Agropecuária
Agricultura familiar,Agropecuária,Agropecuária
Agricultura orgânica,Agropecuária,Agropecuária
Alimento,Agropecuária,Agropecuária
Composição de alimentos,Agropecuária,Agropecuária
Contaminação de alimentos,Agropecuária,Agropecuária
Tecnologia de alimentos,Agropecuária,Agropecuária
Aditivos de alimentos,Agropecuária,Agropecuária
Embalagem de alimentos,Agropecuária,Agropecuária
Preservação de alimentos,Agropecuária,Agropecuária
Assistência técnica,Agropecuária/Produção agropecuária,Produção agropecuária
Defesa Vegetal,Agropecuária,Agropecuária
Análise de risco - área vegetal,Agropecuária,Agropecuária
Distúrbio vegetal,Agropecuária,Agropecuária
Doença de planta,Agropecuária,Agropecuária
Erva daninha,Agropecuária,Agropecuária
Fiscalização vegetal,Agropecuária,Agropecuária
Praga de planta,Agropecuária,Agropecuária
Quarentena vegetal,Agropecuária,Agropecuária
Engenharia agrícola,Agropecuária/Produção agropecuária,Produção agropecuária
Agricultura de precisão,Agropecuária/Produção agropecuária,Produção agropecuária
Aviação agrícola,Agropecuária/Produção agropecuária,Produção agropecuária
Construção rural,Agropecuária/Produção agropecuária,Produção agropecuária
Eletrificação rural,Agropecuária/Produção agropecuária,Produção agropecuária
Equipamento agrícola,Agropecuária/Produção agropecuária,Produção agropecuária
Irrigação e drenagem,Agropecuária/Produção agropecuária,Produção agropecuária
Mecanização agrícola,Agropecuária/Produção agropecuária,Produção agropecuária
Extensão rural,Agropecuária,Agropecuária
Extrativismo,Agropecuária/Produção agropecuária,Produção agropecuária
Extrativismo animal,Agropecuária/Produção agropecuária,Produção agropecuária
Pele,Agropecuária/Produção agropecuária,Produção agropecuária
Extrativismo vegetal,Agropecuária/Produção agropecuária,Produção agropecuária
Cera vegetal,Agropecuária/Produção agropecuária,Produção agropecuária
Combustível,Agropecuária/Produção agropecuária,Produção agropecuária
Fibra vegetal,Agropecuária/Produção agropecuária,Produção agropecuária
Goma,Agropecuária/Produção agropecuária,Produção agropecuária
Látex,Agropecuária/Produção agropecuária,Produção agropecuária
Madeira,Agropecuária/Produção agropecuária,Produção agropecuária
Óleo vegetal,Agropecuária/Produção agropecuária,Produção agropecuária
Organização agrária,Agropecuária,Agropecuária
Assentamentos rurais,Agropecuária,Agropecuária
Associação agrícola,Agropecuária,Agropecuária
Colonização,Agropecuária,Agropecuária
Cooperativa agrícola,Agropecuária,Agropecuária
Estrutura agrária,Agropecuária,Agropecuária
Gestão da produção agrária,Agropecuária,Agropecuária
Reforma agrária,Agropecuária,Agropecuária
Pecuária,Agropecuária,Agropecuária
Defesa animal,Agropecuária,Agropecuária
Análise de risco - área animal,Agropecuária,Agropecuária
Distúrbios de animais,Agropecuária,Agropecuária
Doença animal,Agropecuária,Agropecuária
Fiscalização animal,Agropecuária,Agropecuária
Praga de animal,Agropecuária,Agropecuária
Quarentena animal,Agropecuária,Agropecuária
Produção animal,Agropecuária,Agropecuária
Animais exóticos,Agropecuária,Agropecuária
Apicultura,Agropecuária,Agropecuária
Avicultura,Agropecuária,Agropecuária
Bovinocultura,Agropecuária,Agropecuária
Bubalinocultura,Agropecuária,Agropecuária
Caprinocultura,Agropecuária,Agropecuária
Equideocultura,Agropecuária,Agropecuária
Estrutiocultura,Agropecuária,Agropecuária
Estrutura animal,Agropecuária,Agropecuária
Fisiologia animal,Agropecuária,Agropecuária
Melhoramento genético animal,Agropecuária,Agropecuária
Nutrição animal,Agropecuária,Agropecuária
Forragem,Agropecuária,Agropecuária
Pastagem,Agropecuária,Agropecuária
Ração,Agropecuária,Agropecuária
Ovinocultura,Agropecuária,Agropecuária
Sericicultura,Agropecuária,Agropecuária
Suinocultura,Agropecuária,Agropecuária
Zootecnia,Agropecuária,Agropecuária
Produto animal,Agropecuária,Agropecuária
Veterinária,Agropecuária,Agropecuária
Clínica animal,Agropecuária,Agropecuária
Higiene veterinária,Agropecuária,Agropecuária
Inseminação artificial,Agropecuária,Agropecuária
Sanidade animal,Agropecuária,Agropecuária
Vacinas,Agropecuária,Agropecuária
Pesca,Agropecuária,Agropecuária
Biologia pesqueira,Agropecuária,Agropecuária
Comunidade pesqueira,Agropecuária,Agropecuária
Economia pesqueira,Agropecuária,Agropecuária
Equipamentos de pesca,Agropecuária,Agropecuária
Indústria pesqueira,Agropecuária,Agropecuária
Peixe de água doce,Agropecuária,Agropecuária
Peixe marinho,Agropecuária,Agropecuária
Pesca artesanal,Agropecuária,Agropecuária
Pesca continental,Agropecuária,Agropecuária
Pesca extensiva,Agropecuária,Agropecuária
Pesca fluvial,Agropecuária,Agropecuária
Pesca industrial,Agropecuária,Agropecuária
Pesca intensiva,Agropecuária,Agropecuária
Produção pesqueira,Agropecuária,Agropecuária
Aqüicultura,Agropecuária,Agropecuária
Carcinicultura,Agropecuária,Agropecuária
Ostreicultura,Agropecuária,Agropecuária
Piscicultura,Agropecuária,Agropecuária
Política agrícola,Agropecuária,Agropecuária
Agronegócio,Agropecuária,Agropecuária
Crédito agrícola,Agropecuária,Agropecuária
Desenvolvimento agrícola,Agropecuária,Agropecuária
Economia agrícola,Agropecuária,Agropecuária
Plano agrícola e pecuário,Agropecuária,Agropecuária
Política de preço,Agropecuária,Agropecuária
Preço mínimo,Agropecuária,Agropecuária
Programas de governo - agricultura,Agropecuária,Agropecuária
Safra,Agropecuária,Agropecuária
Previsão de safra,Agropecuária,Agropecuária
Produção vegetal,Agropecuária,Agropecuária
Biologia vegetal,Agropecuária,Agropecuária
Estrutura vegetal,Agropecuária,Agropecuária
Fisiologia vegetal,Agropecuária,Agropecuária
Floricultura,Agropecuária,Agropecuária
Fruticultura,Agropecuária,Agropecuária
Horticultura,Agropecuária,Agropecuária
Insumos agrícolas,Agropecuária,Agropecuária
Fertilizantes e agrotóxicos,Agropecuária,Agropecuária
Melhoramento genético vegetal,Agropecuária,Agropecuária
Produção de sementes e mudas,Agropecuária,Agropecuária
Certificação de sementes,Agropecuária,Agropecuária
Variedades de sementes e mudas,Agropecuária,Agropecuária
Sistema de produção,Agropecuária,Agropecuária
Tratos culturais,Agropecuária,Agropecuária
Capina,Agropecuária,Agropecuária
Colheita,Agropecuária,Agropecuária
Cultivo,Agropecuária,Agropecuária
Plantio,Agropecuária,Agropecuária
Poda,Agropecuária,Agropecuária
Produto vegetal,Agropecuária,Agropecuária
Solos,Agropecuária,Agropecuária
Preparo de solo,Agropecuária,Agropecuária
Adubação e correção,Agropecuária,Agropecuária
Manejo e conservação,Agropecuária,Agropecuária
Plantio convencional,Agropecuária,Agropecuária
Plantio direto,Agropecuária,Agropecuária
Transgenia e sequenciamento,Agropecuária,Agropecuária
"Ciência, Informação e Comunicação","Comunicações, Pesquisa e Desenvolvimento",
Ciência e Tecnologia,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Biotecnologia,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Ciência espacial,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Exploração espacial,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Tecnologia espacial,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Desenvolvimento tecnológico,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Inovação tecnológica,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Engenharia,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Nanotecnologia,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Nanociência,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Nanomaterial,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Nanomedicina,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Pesquisa científica e tecnologia,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Tecnologia da informação e comunicação,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Banco de dados,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Hardware,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Inteligência artificial,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Internet,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Meios de acesso,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Multimídia,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Redes de comunicação,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Robótica,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Sistemas de informação,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
